0,0,0,0,0,2,3,6,9,10,10,14,27,29,57,73,96,138,179,218,255,307,364,424,483,562,635,707,764,820
0,0,0,0,0,0,0,1,1,1,1,28,49,92,182,214,236,253,280,330,402,429,499,521,562,633,649,661,692,709
0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,4,6,6,6,9,9,35,35,44
0,0,0,7,7,25,217,392,678,1128,1148,1230,1839,2079,2886,3105,3637,4176,4921,6010,7348,8576,9411,10376,11294,12597,13733,14857,16416,18296
0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,7,10,17,29,59,64,92,106,113,143,172,194,244,263
0,0,0,0,0,0,1,11,22,58,58,62,119,191,338,382,567,830,1186,1579,1968,2284,2481,2758,2923,3329,3598,4013,4413,4847
0,0,0,0,0,0,3,10,18,41,44,59,102,120,145,173,202,241,296,333,397,439,498,547,591,675,743,855,944,1044
0,0,0,0,0,0,2,2,4,5,6,6,10,11,13,20,23,34,51,90,124,142,147,154,161,166,192,197,217,246
0,0,0,0,0,0,1,1,1,1,2,3,3,3,7,12,13,17,25,49,56,92,119,144,168,192,229,253,278,352
0,0,0,0,0,0,1,1,4,42,42,71,160,186,286,312,367,439,520,690,810,875,929,1045,1103,1172,1294,1401,1475,1652
0,0,0,3,3,3,6,6,9,12,12,12,42,56,129,157,166,186,222,330,425,468,496,514,558,611,656,714,783,860
0,0,0,0,0,0,1,5,6,8,8,12,20,23,39,54,92,97,118,134,201,223,271,335,362,390,437,468,489,538
0,0,0,0,0,0,4,6,10,11,11,14,48,80,240,263,319,426,533,739,1089,1262,1391,1497,1667,1831,1953,2089,2330,2543
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,14,15,15,16,16,17,32,41,49,55
0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,5,7,11,13,15,18,20,23,33,35,44,47,53
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,14,14,15,16,18,24,27,28,40,47,48,53,57,64
0,0,0,0,0,0,0,6,17,20,20,23,33,36,43,43,59,59,60,60,62,82,101,135,137,138,138,142,147,155
0,0,0,0,0,0,0,0,0,3,4,4,5,12,18,136,236,245,310,346,368,457,558,631,715,799,901,993,1059,1116
